customer_no,store_id,id,uuid
201700-001118,055langouste,1468,d2ebb1df-5f5d-4231-8513-75b4893203fa
,05livegood01,6698,d023363c-2baa-49e6-a979-53348afba974
201700-000027,1,5987,7aa6906a-2cff-4a92-bda4-e03df3f4ca4f
201809-014647,1000416,8137,4e0ef368-a00d-4161-afee-c62fa4d574eb
,100blacktea,5155,97a662fd-f14c-4963-9075-8f4f8f80ffe6
201700-000575,100tastes,561,c46de1ff-ceb3-42af-a6ae-dfa431a2375a
201700-000375,1018,226,76644a80-9c99-48d3-964b-488a01ca804d
201700-001921,101dinningroom,2777,ee77cb7d-85a8-4fc9-8dc7-9951d7ea29d5
201700-000917,10881340,1168,d3788b3f-774e-4179-a94d-cf0ffb6e7e67
201700-001738,108matchaeslite,2321,ea105aab-8c9d-4e2a-92d6-731b8bca90e9
201700-001133,108matchasaro,1488,02d23e95-74da-4ef1-88e4-b646baf6c68c
201700-001181,108matchasarosogo,1561,0a7d535f-4246-46a3-b1c7-89eed0745ceb
201810-015442,108matchatk,8530,8ec5b322-7b71-4b8d-9197-930144639c80
,11homekitchen,5791,58ae61c1-9447-41e8-92b5-a62cb954f07a
,11pasta,405,708e37ca-97d5-4a68-a74a-88f176062df2
201803-010462,1234,6391,ac229f07-76fd-419f-b66f-f23a820d2234
201700-001475,125817,2091,1534506c-34cc-4c46-91cb-937884ec1c16
201809-014818,125818,8300,e761bf73-5ca7-4d91-8bc3-e3a33298c775
201805-012277,12cafe,7005,f69c28ae-56a7-4c8b-a652-abd2a1e330e2
201802-003412,13104078,6819,45a03fa0-7eb1-419a-bcc6-8618e7eb4f22
201808-013672,1314520520,8032,754752db-34c0-4088-adc7-72052860431a
201711-002092,13kitchen,5423,51b0b078-094d-48d2-809d-e5f51e1351ee
201700-002071,152fandi,2735,f64100d0-9f44-4292-8b50-ab5057920f22
201709-001439,169169,5069,9072eddb-1bb7-41fe-8a62-a318c9c18b22
201700-000650,16kitchen,482,326f7363-8cc2-44c1-9e6f-16480c40d17d
201700-002590,17brunchbar,3837,186d9d7f-a1db-41eb-86e2-a74ab8544d12
201700-000057,181zzshop,830,2312fb7b-9665-4bad-98da-1d6966d8dacb
,1888,9052,012a20e5-0120-4435-8495-3483b195a31e
201700-001615,19205910,1977,59cf3bcf-5f1a-4e36-8ab8-d6417f4627dc
201700-000584,1942,348,cf922741-f6ec-42db-90f1-5e4b7b4c379b
,19422,3020,c7734ca4-a14d-4d7f-845c-2115741e51cf
201700-002865,1980cafe,4257,aa044db8-fac2-4d27-9283-9ebb80d3997e
201811-016178,1980sp,8939,57b6c1d9-58d9-4927-84e9-eb9e29ee8075
,1982khb,7856,a534b1a8-4e06-4511-aaae-3f5139822626
,1988,6667,84b2e44d-e2c3-4731-9ae6-0ef1928f86c3
,1989k,9237,8c1ce25d-ee0c-4c0a-8e44-09cde79c932a
,1f01,7067,5b954944-b7d1-41d1-baaa-d2dc2293ad95
201807-013562,1plus,8308,b191c96d-367b-4a0d-beb7-38e914a08ad4
201700-000028,2,5988,4ec10571-c25f-4903-80bf-32396b64afc8
,2002821,7330,9e8e6f26-7589-4587-a412-69d0a89b58ea
201708-000925,201,4742,ac7e410f-ede8-4775-8836-90ec6592c9d9
,2015airport,6973,3a97281b-2006-4ecd-a9dd-36f62561c107
,20180602,6907,9342f088-a6ec-44a0-b1c4-2477aec0f936
201807-013405,201807bf,7520,5aaae3d1-aa0f-4596-b929-93155fd0be85
201811-016300,2018airport,8920,9e24078f-0073-4d7d-8a9a-f2b65c3cf36f
,2018jaboticaba,7946,ea83dbf0-604a-4fa3-9d8b-4164c606f351
,2018kodo,6264,d3ca3261-5b12-491b-8522-73df16139795
201711-001967,2091846,5489,12353db9-d4dc-4561-b712-68349a8d3678
201811-015816,2093581,8679,105c25a1-ae37-47c6-b683-796d08539ab1
201700-002362,21002862,3339,a763526c-03a9-46ab-80ec-34d45d98443f
,2100cafe,699,22e8c93a-4630-4829-8427-e9f5206ebed8
,211xfood,8075,94000ff2-f221-4824-a973-b5e1d9e0ecaa
,2146958,7356,a5f03fe0-9917-4c76-a0be-903f7343c1c3
201712-002563,22051100,6272,689d6ed0-0846-4c00-bdf5-bb59936a8632
,2212632,4824,87ca0716-13e1-4e2e-a3a7-0e5688edffa9
,2222007,6320,b3dfa263-6f43-4a33-a2fd-187be01e6b09
201806-012743,2222133,7414,46633684-1d08-49e6-a375-69192ed966f4
,2223773,8315,85129a78-c1ab-4cc4-9c90-55a2f542f678
,2226295,6831,5e112d38-7e56-42a5-95c1-e1342b5c0fee
201700-002802,2230360,4291,44dea3cb-a67a-4df0-9f13-b54ad43f7ccf
,2232621,5831,71e5284f-b390-451f-a9a5-d62d2cdee7eb
201808-013901,2232773,7936,d726025d-6715-4fdd-b0cf-12a17608b3b2
201805-012026,2232818,6990,13068548-5ef4-4af3-9854-1076883e5563
,2237258,7976,205e7948-d788-4007-981a-d66ea5c939fe
,225072111,4389,c85f6001-67d5-4a15-8bdf-b07faeccbb2b
201804-011616,22988130,6862,b75f9086-c337-4991-9410-a42d65dc6b73
201708-000887,22cyg,4706,e55fb090-ddfa-4580-b30d-e2607f739aa4
201811-016331,23030607,9127,4acb5bae-b1f7-4abc-9ca9-ec797d649945
,2332999,3135,101a8951-a5f8-4a12-add7-082b0662fae5
,2342788,6488,fe67bc0f-cfa8-40d3-997a-dbac9f9b6b76
,2359119,8384,8aed0d79-e4d5-495e-8a28-ec108e43de85
201811-016248,2364561,8863,5d1427f5-40d4-418c-b53f-922c91690116
,2385450,8382,06f40eab-cce9-4b26-afa9-558de2fd3804
201808-014037,23888520,7914,bbe620c3-8536-4877-895f-49ce73a24345
201806-012620,23888887,7327,26b5fd2b-4d8f-421f-91a0-09b9ba61b575
201808-014038,23889099,8128,41811c77-c034-4bbc-8974-bc6757c75cef
201700-001995,23PUBLIC,2894,caedebff-65cc-4aa2-a842-5ec7a31299cf
,23publicbeitou,4600,c539a3f5-b40b-40ee-8848-3ef211f3acbb
,24233719,8993,ae6b9bc1-8b36-48cd-ae81-f8af547c81ab
201811-016150,24250766,8937,bd32415c-e9df-4f26-9c13-89712db5cae3
201805-012004,24515295,7104,d35a4f7f-c06b-4d0b-852c-5e9dc194eae2
,2452019,9427,dd70e9f5-559a-4cec-b504-5cde0a323d09
,2456855,7808,30ca1037-5d3a-4068-ba0b-90b43d0c1cea
201807-013521,24597057,7703,6b985580-ea30-4265-ba8f-9542922d2491
201806-012537,24705400,7511,3d962ec1-77d3-4208-8b22-fc3660dd21da
201810-015282,24709840,8797,60a6c585-b4fd-4e65-b1d5-e96b4b46a627
201700-000387,24752022,581,a94d2b87-2ea0-4f91-add0-60c41d582002
,24752555,6379,d96d47bc-5dc7-46a1-a755-37587377623d
,24781568,9037,48d62c28-4829-4531-82d5-384ab682caf6
,24795186,6602,38c9a5ea-7cbe-4b66-af5f-a99ac31c2ca7
201800-100019,24910057,5411,3d93d113-c81c-4dad-8cd6-f25f82d4233f
201804-011441,24985388,6764,107da122-8d51-43a9-902e-850b5dd06d48
,25092809,7158,edff19b8-50f0-4d38-9315-11d710a4c9f5
201801-003323,25096066,6042,c9443750-a2b2-484f-959e-fd75a6f9ca37
,2526218,6950,2737e145-e43d-4a19-b51d-3c92860887cc
201700-001503,25509092,2080,909fbc91-6a3b-44a1-bcbf-8a0f7df06ae2
,25993231,6427,f5f29415-12e1-48f2-9e2e-85dd1ad13a70
201801-002997,2602200,6707,e5b24ebf-8964-47d8-990c-a5f7ae1fd9d6
201806-012560,26090663,7139,dca2f2b8-60e8-4fb3-9b7e-7c808237c6ec
201809-014728,26183671,8143,1dc37948-66f6-4ef6-9f06-ebae897133c4
201809-014568,26260426,8093,6c35e36f-f457-4b5b-bb4f-c209d8970c48
201808-013677,26315199,7731,97dd3569-907b-4a69-a98d-1cf6b4a9b827
201805-012117,26323698,6966,83351f3a-448b-43b1-9368-f3bed817d934
201804-011375,2643179,6632,922452f9-2588-40b4-8ad9-c6a3e57f90f4
,26479082,9017,085308cb-0e0d-4f4a-9be4-041cb390baa1
201804-011351,26561242,7649,96583a32-f72d-43be-b666-06e60211471e
,26709606,1013,744dda1b-863a-4f29-8286-7875a4b46470
,2678186,8383,00fcf8c8-d747-4bc2-9a1f-f5c666aad111
